,word,topic_id,weights,word_count
123,fig,6,0.01024067956583294,392
124,wa,6,0.010004719207173196,536
125,cecal,6,0.008400188768286928,200
126,colon,6,0.007975460122699387,346
127,gene,6,0.006512505899008966,907
128,level,6,0.006134969325153374,266
129,content,6,0.005993393109957527,182
130,format,6,0.00585181689476168,155
131,increas,6,0.005804624823029731,313
132,thi,6,0.005615856536101935,664
133,gut,6,0.005096743747050495,495
134,biassoci,6,0.005096743747050495,108
135,piger,6,0.0049079754601227,104
136,gordon,6,0.004577630957999056,180
137,acet,6,0.004530438886267107,99
138,monoassoci,6,0.004247286455875413,96
139,support,6,0.004200094384143464,261
140,obes,7,0.01332881509092963,137
141,food,7,0.012651078730373884,194
142,adipos,7,0.011747430249632892,141
143,gene,7,0.01140856206935502,907
144,journal,7,0.009488309047780414,85
145,leptin,7,0.009262396927595165,95
146,tissu,7,0.00881057268722467,124
147,express,7,0.008358748446854174,436
148,regul,7,0.00824579238676155,203
149,intak,7,0.00824579238676155,85
150,neuron,7,0.006664407545464815,85
151,2000,7,0.006664407545464815,149
152,adipocyt,7,0.006664407545464815,59
153,metabol,7,0.0062125833050943186,301
154,increas,7,0.006099627245001694,313
155,receptor,7,0.006099627245001694,119
156,nutrit,7,0.006099627245001694,66
157,involv,7,0.005873715124816446,165
158,2001,7,0.0057607590647238225,150
159,activ,7,0.0055348469445385745,223
160,commun,8,0.013199577613516367,166
161,gut,8,0.013199577613516367,495
162,microbi,8,0.012671594508975714,300
163,sequenc,8,0.01187961985216473,246
164,microbiota,8,0.011615628299894404,269
165,divers,8,0.010955649419218585,137
166,speci,8,0.010163674762407603,189
167,select,8,0.00791974656810982,209
168,16,8,0.007787750791974656,110
169,patient,8,0.007655755015839493,230
170,2005,8,0.00752375923970433,318
171,bacteria,8,0.00752375923970433,235
172,wa,8,0.007259767687434002,536
173,host,8,0.006995776135163675,360
174,bacteri,8,0.0067317845828933475,201
175,genom,8,0.00646779303062302,318
176,studi,8,0.006335797254487857,317
177,gene,8,0.006335797254487857,907
178,rrna,8,0.006335797254487857,52
179,librari,8,0.006071805702217529,82
180,cell,9,0.019644970414201185,792
181,thi,9,0.011242603550295858,664
182,author,9,0.009349112426035503,191
183,gene,9,0.008284023668639054,907
184,doi,9,0.007692307692307693,107
185,studi,9,0.006272189349112426,317
186,show,9,0.006272189349112426,131
187,speci,9,0.005917159763313609,189
188,protein,9,0.0057988165680473375,609
189,differ,9,0.005562130177514793,189
190,2006,9,0.00544378698224852,311
191,rna,9,0.0053254437869822485,93
192,model,9,0.004970414201183432,182
193,wa,9,0.004378698224852071,536
194,genom,9,0.004378698224852071,318
195,respons,9,0.004378698224852071,279
196,activ,9,0.004142011834319527,223
197,function,9,0.0039053254437869823,268
198,research,9,0.00378698224852071,71
199,system,9,0.0036686390532544378,345
